"V1" "V2"
0.1 1.1
0.782164126616882 1.30191259529546
0.954971659792174 1.30088576728186
"V1" "V2"
0.1 3.55
0.59689026972362 3.36768627443208
0.749431521684313 2.97570581760964
"V1" "V2"
0.1 6
0.736932936921282 5.13859073802732
0.957930996567853 4.51210911472138
"V1" "V2"
2.55 1.1
4.96610639544846 1.09816582906483
5.920049729542 1.15095426831852
"V1" "V2"
2.55 3.55
0.727206738663675 3.24183691022382
0.635037726818906 2.63105198747587
"V1" "V2"
2.55 6
0.626512095592353 5.1402687987837
0.846500401279018 4.29571935900715
