"V1" "V2" "V3"
0.34 0.33 0.33
0.42658264229532 0.163212536694499 0.366744797694011
0.431090420545686 0.172489927251044 0.409071994409781
0.397188695408134 0.182760932685492 0.426353620495645
0.360063709668196 0.200984457117494 0.443743292278785
0.320303819611794 0.225114260362409 0.459650495988424
0.278668593837664 0.253931829334797 0.473039464743706
0.236386774532393 0.286524338244182 0.483093736322488
0.194952749391661 0.32204970985384 0.489022564305428
"V1" "V2" "V3"
0.34 0.33 0.33
0.534010538993822 0.189591515853147 0.229694256959815
0.633552321747068 0.21115959600201 0.158862313291826
0.679193328885186 0.226377183251704 0.100221258208321
0.701281246538665 0.244402734777811 0.0607919021074446
0.703709652833195 0.267142583225121 0.0356614981566385
0.690124944911769 0.296183409616801 0.020297387097443
0.663217457115111 0.332642016533205 0.0112217446064917
0.624828047671774 0.377027994958483 0.00602801336271212
"V1" "V2" "V3"
0.34 0.33 0.33
0.603827009179016 0.197205538291221 0.167331536498499
0.691330280779825 0.22004511172609 0.0930114139046242
0.72211417136561 0.23704686927713 0.0478580132498368
0.726715137008344 0.257549242268014 0.0236682089969085
0.71124143618272 0.284818051848971 0.0113993869408772
0.681344206128833 0.320560053172614 0.005383406810636
0.640130561430254 0.365162336256685 0.00249611922085487
0.589378721647386 0.418123257678571 0.00113623222571748
"V1" "V2" "V3"
0.34 0.33 0.33
0.467317429177967 0.0729586410024698 0.4415425172822
0.471979201292433 0.0401847463985372 0.510784373250522
0.43718137720502 0.0187732594424165 0.562093344768019
0.390020768919954 0.00833843879501198 0.614778826530492
0.337775969293879 0.00361163086559537 0.669055694553381
0.284087412797555 0.00153891501618456 0.723342159358822
0.231661181139051 0.000648101810525005 0.775276309918124
0.182962941165242 0.000270685578966221 0.82305248237318
"V1" "V2" "V3"
0.34 0.33 0.33
0.650006818992481 0.0659225276274572 0.239617969350631
0.764812545271423 0.0402579070172475 0.183198120982749
0.842820860420147 0.0219266404806877 0.12893715089477
0.900022532110173 0.0104634041826845 0.0871493962787939
0.937517351877119 0.00474384924981054 0.0570118895379047
0.961345108339404 0.002121155444124 0.036211577792935
0.976554821871966 0.000943572017897683 0.022359319972028
0.986089018260267 0.000418502623564827 0.0134324053584279
"V1" "V2" "V3"
0.34 0.33 0.33
0.735808504921041 0.0659067231470244 0.156758007498103
0.842992953984729 0.0437124674127965 0.0955147172590579
0.91087459590148 0.0258310724927096 0.0532700000912204
0.9547314163158 0.0134748344051806 0.0285406779397799
0.977977600763624 0.00655990845003175 0.0150025863209306
0.988970587593869 0.00314651081109216 0.00778221915880595
0.99448890523789 0.00149777944132444 0.0039877665542106
0.997267714795657 0.000707869785792163 0.00201777688927726
"V1" "V2" "V3"
0.34 0.33 0.33
0.477357777736424 0.0531490473336194 0.461006150584266
0.473160275714315 0.0251501592507004 0.525306759465619
0.432876946900566 0.0101232493594204 0.576119607467155
0.380569759096757 0.00389789699418688 0.628566665696772
0.325426855310586 0.00147436199213804 0.683324034171189
0.270346616325578 0.000552342076434217 0.737864691536988
0.217644147388824 0.000205895584563141 0.789450368225202
0.169613138780682 7.66138991603894e-05 0.836249494629804
"V1" "V2" "V3"
0.34 0.33 0.33
0.661933827912106 0.0451372819954022 0.260482614124643
0.762486346978509 0.0250375598752935 0.200704532269339
0.838599029636588 0.0110903932360712 0.144610416889021
0.894162758604867 0.0042349715233756 0.100216508990598
0.930619115378713 0.00155773282640283 0.0671460020803613
0.955423754258354 0.000569068816632764 0.043652546832333
0.972070188489346 0.000208333532863001 0.0275492970904496
0.982951946257153 7.66925356788538e-05 0.0168929850319102
"V1" "V2" "V3"
0.34 0.33 0.33
0.753415289203541 0.0422031897954533 0.169561270169837
0.8485038911007 0.0258469599760792 0.106755589818008
0.915047343137656 0.0132300944406528 0.0619265798942184
0.957696328458303 0.0054254577965674 0.0345897391611093
0.978635909778987 0.00211160488743057 0.018909354943928
0.988924583871719 0.00081922140381068 0.0101729208062233
0.994268674995867 0.000319561149174801 0.00538884185753892
0.997057337216676 0.000125432311625492 0.0028108020554419
"V1" "V2" "V3"
0.34 0.33 0.33
0.466295532803498 0.147814744292918 0.391219780919485
0.412308692670256 0.12749718568768 0.50680412131841
0.318439174547105 0.105463316427159 0.612201283722419
0.229522647531455 0.0851181733475068 0.712582147300887
0.153442943860584 0.0657321719296454 0.799250627895378
0.0938677688732104 0.0480650550709911 0.868237682670378
0.051702500949984 0.0329016149428144 0.919717716273964
0.0255839502174289 0.0201999335176896 0.956239923396506
"V1" "V2" "V3"
0.34 0.33 0.33
0.435799539613102 0.192142252342262 0.343214147495074
0.434324219668534 0.21646534489061 0.359020894972867
0.398919178839387 0.243289448746476 0.361288620782474
0.362289181177486 0.278688611860992 0.360510967310138
0.326826455142829 0.321258938755205 0.352966023571278
0.292978539897055 0.370389993791772 0.337900192221514
0.260359171218951 0.425414623957196 0.316047758790069
0.228456904296043 0.485205447839284 0.288791842933016
